order_id,price,freight_value,valor_total
022b1f3510a95b396431fec95f5de236,99.9,13.82,113.72
022c0ddf029d7d3ba3d83bd524805629,92.0,13.66,105.66
02355020fd0a40a0d56df9f6ff060413,50.0,19.59,69.59
02358a9949662b292e80635305dea78b,59.0,25.69,84.69
023669233121f0fb7899e5be2b22885f,258.78999999999996,59.57,318.35999999999996
023faf5fac58639f7cf53cb7dd219859,69.49,16.25,85.74
025321e4e9674e090b7bc101f9c5ab5a,59.9,50.92,110.82
0276bd1aea24c642af813980281af144,139.0,40.48,179.48
027fb2504084c231e857f6cf558a9992,124.9,17.12,142.02
0283a5f1680cc866884c09960d2462e3,230.0,75.01,305.01
02875e2e1d01d7a1533215fb97510b06,199.0,8.65,207.65
029863af4b968de1e5d6a82782e662f5,25.99,15.1,41.089999999999996
029b1d3a355dec12cfed60927f076a9d,220.64,31.74,252.38
02a059e99249511338c51476bf3d942e,119.99,12.04,132.03
02a0f7101947ebb4e6d2ec4c1c929bbb,89.99,22.5,112.49
02a98752595ee9d94c570ad3e18055b4,68.9,11.5,80.4
02b09d03f22e1da491e4d578a0bc3f90,29.0,14.1,43.1
02b0bf9164ac7753f9880e46dba17f6c,39.73,23.69,63.42
02b39a781ee24f6997ad691ea7a01491,105.0,21.57,126.57
02b8fcdd1bd75d7d5861f407dde29768,13.99,22.85,36.84
02bbf7328b514a90bedde6541c213811,30.9,8.72,39.62
02c8875e5351540e76019fb7429e163f,9.0,7.78,16.78
02c9b2b746777e4dadcf72941e5a010d,194.99,23.29,218.28
02cb14245fd2ce5926afb2225f28b002,319.0,20.77,339.77
02e405aa2667a116637cdb4affaf93c0,119.94,42.39,162.32999999999998
02ec4da9d03014f06d711d60eb37cc22,85.0,20.08,105.08
02fc75303e2529f036cb819168fa21a0,50.0,18.45,68.45
032de52b21013e176ee997c8f210dd66,50.0,15.1,65.1
0332e2e8114f5904403029875ac75329,119.9,13.31,133.21
03343a88c4d669e6378c5aedc4147919,150.0,8.3,158.3
033a79557b0d234035b38da3be948574,35.0,24.35,59.35
0342b8bec301294021371c16411b6c40,47.6,15.56,63.160000000000004
03515a836bb855b03f7df9dee520a8fc,89.99,16.39,106.38
03518b1ed227311405c355ccbda81a80,62.34,15.19,77.53
0359f367ef22ad541b0bdc484158be09,159.0,64.48,223.48000000000002
0361f3d4648b016237d77833005e4cfc,168.8,15.93,184.73000000000002
0362e923f805ae4dce58fd78c86c96c4,170.75,142.92,313.66999999999996
0368b1d608cf0cc5246c6110754d8fee,99.0,23.01,122.01
036b2855a4c92b30f0bd1f3fc0f46e48,48.9,18.63,67.53
036f684797c77d9beffa596570e198bd,32.0,14.1,46.1
036ff362f1e7465c0ecad8f54b2e6c06,179.0,15.0,194.0
0374e57efce00e3004e93acd6310c58f,56.99,9.94,66.93
037556f936da90c5f9504956ff286860,59.9,13.0,72.9
037ce5266460af220f19d497b130e737,110.32,8.03,118.35
0382e1be5feaca880336365b982b8629,17.0,7.39,24.39
03aba68b07658f28f29612641f08d4ba,1020.0,182.64000000000001,1202.64
03c939fd7fd3b38f8485a0f95798f1f6,26.0,16.11,42.11
03d5b9a74ff46435640f8bd737ac2237,110.0,36.43,146.43
03e2511c3ad8af9188ef59218b1e8a2c,154.91,16.18,171.09
03eba6d9fef8f5b3e811d4b5a7cca9cd,84.99,17.84,102.83
03ee63602079004d0098fecfc1d4cfe7,65.0,15.2,80.2
03f2794ace8d10c0af8614f6fac2be3e,89.99,18.2,108.19
03fa3f4dec4b3647d00532079f723fec,144.41,17.45,161.85999999999999
0402c01cc0985160e52a67f202177b78,58.99,11.73,70.72
04107d105302558ebef9aa631b9bd13a,49.94,36.46,86.4
04164ec24abde688d0451ee982797344,95.0,7.92,102.92
041aa5c38550649d5b51f38ba03a29a4,33.9,15.1,49.0
04221a4eb2e1a30903ffaaa72f8b268c,39.99,12.94,52.93
042cfa84b1415cdcea821bcbc1bb8f4c,54.49,7.78,62.27
042d7868efeb34d5748cf9262016f6be,97.0,15.43,112.43
04323742e042716e4427a5b3536ea08f,37.98,14.78,52.76
0435404d45d367d6da14e7628c40a041,69.9,15.24,85.14
044496e055fca9c2f17e1309e77a48b6,131.0,25.23,156.23
04467aceefd2346ed54c7fd9e40721a6,49.9,17.6,67.5
04492e6b1fcee5317506f927e0e89eb2,114.9,15.11,130.01
045d5f2b9ec233c262c0ba79867e37fb,219.0,17.97,236.97
048297b4e795502db60be292e12dd390,125.0,68.55000000000001,193.55
0493cfcda1fbe4c59f584aeffa96c098,89.0,17.36,106.36
0494f6deee34c3bcc09e66f364b0e5a4,47.9,16.32,64.22
049c844d7707d97ba1600196919474f4,128.89,15.65,144.54
04a18000a647d0f0f842ca489dd4a464,120.0,27.56,147.56
04a28263e085d399c97ae49e0b477efa,84.89,15.34,100.23
04b3135bf087618b410a00680576242f,34.9,8.99,43.89
04b7738ad5fbb213eeb7a2145bea8242,357.99,34.9,392.89
04bef5ebaab368e72d66decdad88fddf,69.9,16.74,86.64
04c3bddd55df58e83123e3b174855489,139.94,35.14,175.07999999999998
04d943e133b4033bedddc46ee516f5c4,49.0,7.78,56.78
04d95724f8e595ca13c0806541d39973,130.5,7.78,138.28
04eafa8a91ba0d51dc0c193bb67afc87,259.9,19.1,279.0
04eb8bac62618bbc56c582cd49493669,69.9,14.24,84.14
04f9ef79f6d6439da363d065445c2325,47.6,12.79,60.39
0507a74781354ea643bff372311d2a97,110.32,7.64,117.96
050f9344068b604a9df9c01b12ded455,109.9,13.11,123.01
0510fbef17088fdb22eed8b459322c62,105.3,7.92,113.22
05200ccb21bae81c6c32914d7c3bb778,29.0,14.1,43.1
052b102ad85bbd141261bbb4ad13edfc,26.0,16.11,42.11
053180cf4b0cf3f7a300e2e42ff01da9,118.0,26.86,144.86
053fdca16d1f69bd52f908f070a19049,56.97,12.74,69.71
05426618bfbb87e04fdd3a60a5bfef38,364.0,21.74,385.74
0544030711e50ec2cb6c15764d22891a,14.3,18.23,32.53
05452881e2846549b81d39249bb66ad7,199.8,24.8,224.60000000000002
054c0efb53bb68011a58b28d34cf04a3,103.99,21.22,125.21
05547569f5543318997d30464eeb74e7,122.99,84.63,207.62
05593bfa78dd87f8fb6d212a614f4b23,49.0,18.44,67.44
056349f85a73d794119c4286c95a52de,10.99,16.05,27.04
057712e71c25f78b04ba3452284c110b,219.9,22.03,241.93
058af2b14bd6831bf3350cc96b0f4822,84.58,11.22,95.8
058b47cafcb62845676917a46cf732e4,51.98,32.22,84.19999999999999
058dbc6a010af0332e7515f383c02b5b,77.9,23.35,101.25
059bbeb3477ed66fd7e670c3f879009a,31.0,11.85,42.85
059f6abcb045619604ec4af08b4b5456,85.5,17.85,103.35
05aac5a18dcd77932007f57de8650622,155.0,14.11,169.11
05b3514bb9492bc0eb20959fbf445927,139.9,15.73,155.63
05bc33363c34f9c8172bd111029be2e1,157.77,15.85,173.62
05bd0df2a2f8b3719b66372a66b8f5ec,84.9,30.9,115.80000000000001
05c44e3898cc7d836584bfaaa36d0017,59.0,20.73,79.73
05c60320bb28437325f2d6d67467d93c,229.0,106.31,335.31
05ec9565bccc292561dec1d33bfefdfa,49.0,13.92,62.92
05f0c78f07cfc889061aba07e9eff066,89.56,12.76,102.32000000000001
05f8021cf7217f1990addecad0e24b7a,178.9,19.35,198.25
05fd18ef3ce628a45cd42bb394ff081b,44.99,7.39,52.38
061295e635460bf36f1bb41bd54fd2d2,238.99,18.11,257.1
061f2692f309a270bc04537e0a2508bb,89.9,12.33,102.23
06263a9c3476eea0ca0fd70081bc7cda,149.9,16.68,166.58
06351d6c05e58972856f24bc50d69b23,389.8,16.46,406.26
0635e2196d30b3003d5381ca15cb3d87,49.0,10.66,59.66
0647d9d193d898f2ff46c9e91a3c8c4b,755.6,82.24,837.84
0647f4a0c12192bfb5ea1032d2e2ecdb,72.8,12.01,84.81
0651c427722f910d3a2238dca1975fcc,1375.65,24.38,1400.0300000000002
065963d921de479181824ca8d8737935,455.0,18.95,473.95
0659ee4a8b8b8da8337c94d35e423c74,315.0,53.94,368.94
065a7d9057589f809082e012f696cb5d,51.9,22.07,73.97
0664199560952a51d76e1ccdadbd2cb7,89.9,11.24,101.14
0666806082c797ed8410aadc2e08f286,59.9,11.92,71.82
066783a7a5bfa25f21a22e17c7ec9137,49.0,16.05,65.05
066e583c1ef730d7f1685807bc618cf7,39.9,21.15,61.05
0675116b5556a78cf0413f70aa9f235e,79.9,11.95,91.85000000000001
0691840826e5dce3ddfb305ab26bcfab,89.18,12.01,101.19000000000001
069370014d6465fb28770cd9449402c5,25.27,16.11,41.379999999999995
06b2c7035561ef12b16045ef4bf459e2,52.9,15.12,68.02
06be8b2c2a6e818814aa5416c3512ca3,27.99,15.3,43.29
06c0d448cbbe294852cab1310c63ab3b,339.8,44.54,384.34000000000003
06c9d7fdab61bfa60de3edd9ec99a28b,139.99,23.56,163.55
06cd9d207dfbdde70cff4074b5b3dfaf,77.1,23.12,100.22
06d5cbe68295558fd6c48998db3ea397,123.0,29.62,152.62
06de165212eea16e848d38f4392d5c11,19.9,15.1,35.0
06ecfa8dfae87263e05d953aa561603d,107.9,23.56,131.46
06ff6cb289c9f1d1ccacc6764874e3c2,42.79,15.1,57.89
0711b9c575a5235790c3f863179c3267,390.0,70.47,460.47
07120a6d39e99f6aec742cfa39ab4cac,104.9,16.49,121.39
0715dfcf2383aa72c181d8b47f6cb589,76.0,21.02,97.02
07161bfb5748163ca6d0478bda1b0a5a,17.99,14.52,32.51
071773cf1c4d6c91cce83af65b9f8fff,53.9,9.13,63.03
0719c4577b69cf807be736608c144bc8,59.99,22.74,82.73
071ff3583bbaab9f38f020af7006a3d4,29.6,11.74,41.34
07279e06272270e7cb604d1901a4f374,90.0,51.35,141.35
072e34b42ad90d7472e9a798f19a6bdb,69.9,15.7,85.60000000000001
073f64b0ac2c4ba51efd4327faca2d39,139.9,16.74,156.64000000000001
073fa4be4665f397a289842b1053229c,250.0,35.02,285.02
074054ad3d2e5ee3fc6f098d06f321f9,97.9,12.19,110.09
0743b54da8ffd8f7f9fe79fcaf006000,115.0,15.56,130.56
0757cb4ec76f9d0456800e40957db304,15.99,11.85,27.84
075a544c5f4ed4bb75f82b160465fe76,197.8,22.22,220.02
075b7434a196cea1b664c1446bee2ff7,35.8,30.189999999999998,65.99
076d991923ee938761994a4255f5c5da,76.9,17.79,94.69
07723291efda5721921a779f58cd3946,18.75,15.1,33.85
0778ca929f32b5357008bd57489a1272,44.1,16.11,60.21
0794929f95ad2d3371bf525e22a2603f,134.0,47.47,181.47
079b09f210081037c1f444e2eaca1e38,58.99,22.12,81.11
07b76b6fdc57b96ed6406457e05ddecb,75.0,13.08,88.08
07bd0c7e13ac7c3a408dd3bc8f18fc78,553.8,38.38,592.18
07c86971c5f40e822bd71ab44f684fad,491.8,96.86,588.66
07d60a76803db63f0ca6708011e8cf9b,168.8,16.06,184.86
07e5d726cba4eb976dc6c2db2ceae28f,59.9,15.17,75.07
07f5bb6759aecb6dd999fea544057758,89.99,27.17,117.16
07f6c3baf9ac86865b60f640c4f923c6,34.3,15.1,49.4
080a96bd106fabe8c9a74df5cb5d8d26,149.0,14.06,163.06
08204559bebd39e09ee52dcb56d8faa2,87.9,15.38,103.28
082390c0275d73d20f55fec91903bbd7,191.9,38.24,230.14000000000001
082b39e89779891345c6ebc6def4822d,144.99,12.22,157.21
082c2f05e569e5d095ac086461bef733,179.9,16.02,195.92000000000002
084051935208c688c8cd5fae3d15810d,44.9,17.78,62.68
084ac56b13107e32ab92934f70638bc9,1141.0,130.98,1271.98
084ac8d010dca0cb81b1bd4f375a047e,236.0,64.68,300.68
084ce670827e3ebb5f585818b985bc25,197.78,50.08,247.86
08504a0dce0a3cd13b3f7971d29fb991,29.0,7.78,36.78
085c1b501f2aed6dc60955055e9567bd,27.99,22.06,50.05
086cb9cd0cf7067d77fe09f31620a52b,181.01,23.2,204.20999999999998
086da3118e7ada3cfb7cce476954af52,189.9,24.26,214.16
086f617d66181efa193629791e0a9076,92.9,18.75,111.65
0877034e4780ed6345f93f2c0e0d48ec,96.0,13.38,109.38
087889e1fca3301cc56532907bfe811c,59.9,16.86,76.75999999999999
088a21dbb29d74a07738fb93a96b507a,269.96999999999997,151.5,421.46999999999997
08906bb784f60b396fdf8fb1773c5e47,119.8,25.1,144.9
08ab4cd4d921b31bd7719eec989aee97,324.5,61.18,385.68
08b1c04da876c66dc6f09acfd8d12f4d,23.99,15.1,39.089999999999996
08bf75dcf867b9f13026785053e87052,45.95,11.85,57.800000000000004
08c01d43e93f5c485f48758550d41eb9,12.99,7.78,20.77
08c21d8b98beec294f0dceb8b54cdfd5,34.9,18.23,53.129999999999995
08d27643b4ade2434f167dc1ba237b4b,81.4,12.91,94.31
08dae4aaedc034ee67385e739d42d0a8,85.0,7.85,92.85
08ff2ba0393c3492409f044754015f74,11.0,7.87,18.87
090342fe317c0444e8220e4d902579cf,29.6,8.88,38.480000000000004
0918b01313c67da779fa4b5356537024,586.56,86.69,673.25
091c0f9393510fe12cc5409a2601ff22,74.99,8.88,83.86999999999999
092ae7e7141e3d69ecd0935d97e14fd9,65.0,17.7,82.7
093b4a025c91a570d1f3b60d428b60a0,69.9,16.25,86.15
094067c0f56b5d0a4dbad0aa60bd26a6,107.36,14.78,122.14
094303c767dff093564257cc4d0e2c29,149.9,38.01,187.91
0943d27820129d9446a32ca20cf9bee1,96.0,49.68,145.68
0955f133d0afa54f738fd6ac4c9bc83b,89.99,45.09,135.07999999999998
095e9e0811476409362d72fa70d73a6c,82.0,17.01,99.01
0963806fc66877ce2fbc42be9a91f3f1,92.9,24.86,117.76
096b267153128e0d7f9e593bba803956,69.9,15.28,85.18
096ff3d928fd9b00eed2c839ad0c2223,94.99,8.89,103.88
097abce97e431993434adabc1aaec4e4,52.0,21.16,73.16
0985a44f5d8e8bf1d6a48717584cec06,42.99,11.74,54.730000000000004
0990523dcb57830447203c2e6d8804d0,158.0,25.95,183.95
09a069fe7d45eae2e1c4910e90e365ac,49.0,7.78,56.78
09a38776c4e31230864f867821174daa,84.89,15.34,100.23
09ba762d7b29d3771a788d7d039159fa,289.9,17.73,307.63
09bfed54145e573d48e1685dcf11fb6c,95.0,22.38,117.38
09c8e71060b07326dba9db865f46881e,99.99,23.28,123.27
09d49d145e25e27490765a4085a8e720,178.0,27.28,205.28
09df42b3e78625578555d3d48cd57be5,12.5,7.78,20.28
0a0090ae69392fa38ee742006f8c0a90,132.49,24.78,157.27
0a02d8b1995030c91c63add1acba1fb2,94.9,7.92,102.82000000000001
0a0d4509c14ceb9b0f6555e07c45d167,288.9,63.82,352.71999999999997
0a178d660889f4e9ef1087483fd6ce9d,29.99,10.96,40.95
0a383b731ceafec6fe7047720b1ea52e,292.9,35.55,328.45
0a3fcfaf1098f95867cdeeb766561eae,41.9,17.78,59.68
0a485e9f82800bf8b36ae34ad2a91aa2,27.99,25.63,53.62
0a53c1150d1019fb4e5e6224e887011f,699.0,13.25,712.25
0a6941f89f53dc1f622f877b23601ed7,30.299999999999997,14.780000000000001,45.08
0a9fc736e210f495e2023d3a9e10319a,179.8,24.66,204.46
0aa1d9509ae8e0c76c03ad7ba91dc81a,136.9,43.37,180.27
0ab49faaefb509c82d19a0d26239a4e3,146.99,41.02,188.01000000000002
0ac51a16347f7a7497b799596ad5fab7,99.0,16.94,115.94
0ace5fbf6db2942061542a808558b9f7,99.9,17.95,117.85000000000001
0af96849112c968e7764ac7f17e4f9f7,39.99,10.96,50.95
0b0334d5ad01e008caafb19973bf1acb,179.97,58.17,238.14
0b127810f86631fa896fd74a421045f8,119.8,35.34,155.14
0b192907ec8563bda5210247497aa9af,55.0,11.89,66.89
0b1e73fa546894ad7310916b480de067,380.0,39.06,419.06
0b29af0ace8656af84d2a20b635e697b,99.9,36.02,135.92000000000002
0b3ca8c9e3b3199306adb467fcd0e982,34.75,50.96,85.71000000000001
0b4526b3cce3a48ec0506b923481cdfc,18.99,16.05,35.04
0b50495c5cfeda8c9d7abfe80aea74e4,139.0,18.22,157.22
0b5588f04551d90ee148462bb65dfddf,118.99,27.13,146.12
0b65284a1a74114ea029b7676fdc1ba3,89.9,54.3,144.2
0b691ae66d643c4c266fd72bd6ce77ce,71.99,15.25,87.24
0b704d9bda1b350e1350d64af21b3411,168.5,13.84,182.34
0b7cb1c7ea62d95ba39702f4ae850108,74.99,27.58,102.57
0b7d34c9f64b1a147d6660ceb770aba4,159.9,20.61,180.51
0b8265df142be25383b96d66f4150f0b,24.9,8.64,33.54
0b95f3147f8a038de06187063d90008e,49.0,7.78,56.78
0ba4f7e89d304a02edca85087abfd14c,849.0,21.04,870.04
0baad26e1a67410a85b2b38558dade2f,62.99,33.84,96.83000000000001
0bae1ef5e585b8bb8d250d4a75736bf6,56.9,8.27,65.17
0bba959fbb649221ae07d0c128ba1809,119.9,16.6,136.5
0bca8e07f15636c260b1f794be423ad9,75.0,14.7,89.7
0bcde0684eba5746bbb90d6d9089570a,138.5,16.73,155.23
0bd66289bf194ff3edb0841291f58da1,69.9,15.7,85.60000000000001
0bd92af478239fae08847d13e9fd8617,49.99,12.79,62.78
0bda8164c1a12b6a388ebec8559ee287,6.9,8.72,15.620000000000001
0be5691eb4c245d190a1e194494f754d,79.9,17.81,97.71000000000001
0bec54b12e30ef962cea0714ea592545,49.9,15.11,65.00999999999999
0bf20dbe580a4ca2a717523e7bf6c610,39.0,7.78,46.78
0c01f50d13b63f9c7a1f073f51a45548,149.8,19.29,169.09
0c02a4cb5207e682d63a1343cbddd13b,84.0,15.34,99.34
0c0b20eb744a9c5ec1611dfd81da6165,152.72,17.51,170.23
0c0b4c682dc77d70dbc4cf1ed44ede36,63.49,8.6,72.09
0c11df2b80d95b1eabdcdf3790bb3347,180.5,23.84,204.34
0c17d2ca8fea3e6d807410a0c0c44746,119.0,122.25,241.25
0c1eabff9739bc1f4ac404d1a8a13db5,169.99,23.99,193.98000000000002
0c2766159bd610cb7f38a657ebb28e39,27.2,19.32,46.519999999999996
0c2989120592c0873f156da4204fbfb6,459.9,18.43,478.33
0c40894addb46fce19ca6ca1f11d9bff,122.99,9.06,132.04999999999998
0c41735db7b9b04cffb97ff1309cbee4,39.0,22.99,61.989999999999995
0c51cc0743219907058b0a266949d0a9,35.9,37.85,73.75
0c57cbfd927d9e62af8beee6d48920b7,130.0,37.2,167.2
0c5f4de2e1c08a6da891feaafcf35d1e,170.3,51.69,221.99
0c65b1e5ce7f6d1bcc961e3a2d740d3b,79.0,11.76,90.76
0c65eb5a1415db7a20dfc869c9277e7a,40.0,17.6,57.6
0c6a2732270e3f0f66bd73dbde93b59e,13.99,7.39,21.38
0c6e84e1109b6c5630774291a85fef1c,71.0,20.99,91.99
0c71e6884d0d7ae94fe52ea917b42fc7,69.8,24.88,94.67999999999999
0c8675dc2e52ab52977a76d810e45303,89.9,18.0,107.9
0c897c38d294bbc817bc78528cb47e27,94.0,17.1,111.1
0c9850b2c179c1ef60d2855e2751d1fa,76.8,71.34,148.14
0c995611a99f81268d859184a416f1db,110.0,18.2,128.2
0ca3024fdd038f1b734a8f1bc57e9055,39.9,9.34,49.239999999999995
0cabda713646db439e030172e3feea6d,289.0,60.1,349.1
0cb398989a2bafd3944803b5427a622d,49.95,19.32,69.27000000000001
0ccb884361ec00003176dab0ea647f59,119.9,13.18,133.08
0cd41d4323d14560d7b92ef270ec6a2a,109.0,18.64,127.64
0cda10fd2b66ee6fc2edd8fc21f8176a,49.9,14.16,64.06
0cdbb064516056ec9be699ddabadc42c,174.9,24.02,198.92000000000002
0ce0997380b2110e5d35697ce4ddabd7,18.95,13.47,32.42
0ced306b608e9bc80ef960368a3414a4,9.99,11.73,21.72
0d0b7c65e71700ed5fe8ae8d2baac37b,206.9,43.78,250.68
0d123aa33c3954b2685ef6807ffc9bc0,158.4,15.86,174.26
0d23d5f95886d46d2deaee6f7282316a,12.99,8.72,21.71
0d4c211b72251b5ab768bcad1228facc,61.99,19.12,81.11
0d6cc2219ef268358eac3c49b47abca9,286.4,66.81,353.21
0d760576500ea8611379a97ddcebf3db,89.9,16.26,106.16000000000001
0d8f485ffe96c81fe3e282095e942c2e,42.0,8.72,50.72
0d931f4590e355bc7aedc79ca822cd82,60.0,31.12,91.12
0da7c9db070f692a9851de83c90a4371,17.5,8.27,25.77
0daa8301819941dd352fe651f9fa70d5,26.0,9.44,35.44
0db095732135cba036daafa8ae0d5559,119.9,12.54,132.44
0db395d667c4793655380026bad4a072,99.9,12.4,112.30000000000001
0dba8cb0559eb37cc0217a28496b5f07,54.9,17.95,72.85
0dccb365ad960364b43a228ff6cebd3b,74.9,16.96,91.86000000000001
0dd88bb98efb144f8678e3144b5180ff,20.3,15.1,35.4
0dd8c916a4beb8512a85d15c9ba4c82c,155.5,16.85,172.35
0ddfc476b3973e3e3bdc022d2fd9d495,235.0,14.67,249.67
0dfb7076fde77db58fd962eb6bd91384,29.0,15.23,44.230000000000004
0dfedf3d432d2cdca59a3ef16b313db6,89.99,35.95,125.94
0e1628ef32043a2e0c0d7152af698bd1,59.9,11.03,70.92999999999999
0e1f02c51187a6a08aa473a3a0f3bc71,89.99,45.09,135.07999999999998
0e2aae39225d075cc7fdfda12ef5434f,39.9,18.28,58.18
0e3077db347b6985225369e7fb0b8120,49.9,8.72,58.62
0e3e431534069e8ac235c637dfb199d8,149.0,27.59,176.59
0e457aee274ec7e2e18d25ab6d212921,148.0,21.44,169.44
0e48ca107de4291a6f7536b4f5cf512e,59.9,20.47,80.37
0e4947343ae2d8c37f2fc453e057c567,64.99,8.29,73.28
0e4a4de1d15b6df8d4335fb2db61667a,93.92,60.4,154.32
0e4b1ee38c10f79bb6eaffa7c60ae724,300.0,17.4,317.4
0e520b5aa77bac2965d232c9a023229d,269.0,19.68,288.68
0e659173ebf2a1d39e076be9bd0b2872,35.0,17.78,52.78
0e69198c87f4da026d7daf96d91b194d,33.78,23.34,57.120000000000005
0e6cacd64f68d4bc8b0cd488367ac297,49.0,17.6,66.6
0e7ce85328efacb39ce2cb345850b969,195.8,34.26,230.06
0e7e973a8d82ae12e070d767abed8960,12.9,7.39,20.29
0e819cea051490ffa56c86778fe28c9d,210.0,21.96,231.96
0e82d5829ca1e9cd05b34dfcc62f1381,24.9,7.71,32.61
0e8e76ea202279fb49931c948ed20655,149.9,17.0,166.9
0e8e7aed5de3681d008b56aaa514fe6a,47.99,25.19,73.18
0e93edf664c68e407889c757350ef76a,473.0,21.62,494.62
0e9a725e04f3fbc13f28d8f17c861013,65.49,9.15,74.64
0ebd409ca379ce0ed8b24e8f5a59a8ea,9.9,15.23,25.130000000000003
0ec0ef35a66b31f873f0010267d30a8e,82.99,12.92,95.91
0ec153c68d6e5b0dfe5128a34ffe6490,71.8,15.25,87.05
0ec21892fbe1319a9e0363cab0066fb0,329.0,14.74,343.74
0ed5043fe7d3f4f88353697330bbc020,50.99,25.64,76.63
0edefae02733735c88d242ce6b781802,79.9,13.0,92.9
0ee10b39b0acad1a8348fe15514a1115,143.0,17.44,160.44
0ee24d5ae95ccf0552a2ef03dfadb924,108.9,20.0,128.9
0ef7521d9d7e51a822826d40be82fe1d,389.0,19.37,408.37
0ef8970186aa8eab14d04be4eda9407a,49.95,13.71,63.660000000000004
0f0786fde25cb2b2b4cfc59128ef8f83,39.98,35.26,75.24
0f121110b75ef7c38c79d67833c49830,760.0,196.86,956.86
0f14db1abb2772e95d78a72c30d69678,132.6,76.44,209.04
0f18a0163ab21f411df244c076fde7ce,49.99,7.39,57.38
0f21631dd255a459deaaafb7a98600dd,199.8,35.9,235.70000000000002
0f2335c85eae6c232fa46499d5e1e3d2,197.5,24.53,222.03
0f28d51fdd4828907bdc58b57f672e84,119.0,15.58,134.58
0f2bbeda958833e5a67ceb4368f282fe,399.8,36.34,436.14
0f2f7e210f5079ed1f797cb4aed6dfbc,196.8,15.72,212.52
0f2fee4fce11f7af3c9ff2ec093eba3a,23.99,7.78,31.77
0f39e640d202449c6fd3aebf9b09f1fd,24.99,15.28,40.269999999999996
0f4fb5e0b20cdd9ef2fe37b2627f2cfe,27.99,7.39,35.379999999999995
0f6134bc3d92b2b091f7cab65b9f7ac2,89.9,23.21,113.11000000000001
0f7477abc25a26f58ebc0d00d2a7cde5,54.9,11.73,66.63
0f7aa32fdabc5a9e10d0e9da37110525,200.0,32.84,232.84
